Model,Accuracy,F1,Recall,Precision,ROC-AUC,PR-AUC,MSE,MAE,RMSE,R2
XGBoost-GRU-Normal,0.5693430656934306,0.6666666666666666,0.7375,0.6082474226804123,0.612280701754386,0.7144690889862143,0.27356791496276855,,0.5230372022741485,-0.1260077953338623
XGBoost-GRU-Absolute,0.583941605839416,0.6918918918918919,0.8,0.6095238095238096,0.6007675438596491,0.6943510026406072,0.2740458846092224,,0.5234939203173447,-0.12797510623931885
XGBoost-GRU-Squared,0.5620437956204379,0.6938775510204082,0.85,0.5862068965517241,0.5925438596491228,0.7081498817406005,0.2883901000022888,,0.5370196458252611,-0.18701612949371338
XGBoost-GRU-Log,0.6423357664233577,0.743455497382199,0.8875,0.6396396396396397,0.6152412280701753,0.7033858184809142,0.2767575979232788,,0.5260775588478174,-0.13913655281066895
XGBoost-CNN-LSTM-Normal,0.5912408759124088,0.6626506024096386,0.6875,0.6395348837209303,0.6118421052631579,0.7256838589502264,0.26715847849845886,,0.5168737548942284,-0.09962654113769531
XGBoost-CNN-LSTM-Absolute,0.5985401459854015,0.708994708994709,0.8375,0.6146788990825688,0.624671052631579,0.7256119672240176,0.272596150636673,,0.5221074129302063,-0.12200796604156494
XGBoost-CNN-LSTM-Squared,0.583941605839416,0.7135678391959799,0.8875,0.5966386554621849,0.5836622807017543,0.7015297700297857,0.294590562582016,,0.5427619759913327,-0.21253716945648193
XGBoost-CNN-LSTM-Log,0.6058394160583942,0.7272727272727273,0.9,0.6101694915254238,0.6226973684210526,0.7241066893796231,0.2786988317966461,,0.5279193421315855,-0.1471266746520996
RandomForest-LSTM-Normal,0.5912408759124088,0.6818181818181818,0.75,0.625,0.6642543859649123,0.7859515627737661,0.22114994527753062,,0.47026582405861755,0.08974488532588332
RandomForest-LSTM-Absolute,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.625,0.7312889449461429,0.28182783673398915,,0.5308745960525793,-0.16000584817110575
RandomForest-LSTM-Squared,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.6076754385964913,0.7333725524626012,0.28220858266757237,,0.5312330775352495,-0.161573001773611
RandomForest-LSTM-Log,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.593201754385965,0.704307454503017,0.34577730668787804,,0.5880283213314458,-0.42322242746157523
RandomForest-BiLSTM-Normal,0.583941605839416,0.6586826347305389,0.6875,0.632183908045977,0.6578947368421053,0.7748429233160109,0.22602233295471053,,0.4754180612415882,0.06969009490636813
RandomForest-BiLSTM-Absolute,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.6638157894736842,0.7715434103924037,0.2987977245221149,,0.5466239333601438,-0.22985405516569624
